SKU,id,Uom,Max price,Discounted price
Coriander - With Roots (Hara Dhaniya) - 100% Safe,796,0.11,18.5,14.5
Potato - Carisma (Aloo) - Lower Glycemix Index,2276,1.0,60.5,50.5
Tinda (Indian Squash),856,0.5,42.5,32.5
Coriander (Hara Dhaniya) - 100% Safe,557,0.25,35.5,25.5
Ginger - New (Adrak),774,0.15,43.8,33.8
Beetroot (Chukandar),10969,0.5,35.5,25.5
Beetroot (Chukandar) (100% Safe),799,0.5,39.5,29.5
Sweet Corn Cob (Bhutta),46,0.25,38.4,30.5
Potato - Chipsona (Aloo) - Low Sugar,1538,1.0,46.6,36.6
Potato - Jumbo (Aloo) - French Fries Special,1976,2.8,99.6,89.6
Potato - Red (Aloo),1588,1.0,47.6,37.6
Carrot - Orange (Gajar),826,0.5,29.5,24.5
Potato (Aloo),1349,1.0,41.9,31.9
Potato (Aloo),1307,0.5,20.9,15.9
Pumpkin - Green (Large Kaddu),1011,3.0,85.5,75.5
Cabbage - Green (Patta Gobhi),10970,0.65,27.5,22.5
Cabbage - Green (Patta Gobhi) (100% Safe),780,0.65,36.5,26.5
Bhindi (Okra),10967,0.5,37.5,27.5
Mushroom - Button (100% Safe),777,0.2,54.6,44.6
Bhindi (Okra) (100% Safe),1071,0.5,41.5,31.5
Cucumber - Hybrid (Kheera),10901,0.7,24.5,19.5
Cucumber - Hybrid (Kheera) - 100% Safe,835,0.7,28.5,23.5
Baby Onion (Pyaaz),1264,0.5,24.5,19.5
Cucumber - Seedless (Kheera),5966,0.5,25.5,20.5
Spinach (Paalak),808,0.45,25.4,20.4
Bottle Gourd - Medium (Lauki),1301,0.4,24.4,19.4
Sponge Gourd (Tori),871,0.6,42.9,32.9
Bottle Gourd - Long (Lauki),10968,0.6,29.2,24.2
Lemon - Desi (Nimbu),775,0.25,64.9,54.9
Bottle Gourd - Long (Lauki) (100% Safe),980,0.6,38.2,28.2
Brinjal - Small (Chu Chu Baingan),1010,0.4,22.8,17.8
Beans - Cowpea (Lobia Phali),884,0.5,57.5,47.5
Beans - Flat Lima (Sem Phali),1365,0.3,27.5,22.5
Ivy Gourd (Kundru),10971,0.5,37.5,27.5
Ivy Gourd (Kundru) - 100% Safe,517,0.5,41.5,31.5
Kakdi,1531,0.5,27.5,24.2
Onion (Pyaaz),771,1.0,44.9,34.9
Pointed Gourd (Parval),926,0.5,40.5,30.5
Rosemary Leaves,5532,0.2,214.4,199.4
Sprouts - Kabuli Chana,7565,0.15,35.4,25.4
Tomato - Hybrid (Tamatar),772,0.5,23.2,18.2
Cucumber - Green,6526,0.5,25.5,20.5
Curry Leaves - With Roots (Kadi Patta),135,0.1,19.5,14.5
Pumpkin - Green (Medium Sitafal) - 100% Safe,942,2.0,60.5,50.5
Chaulai - Red,880,0.5,39.5,29.5
