SKU,UOM,id,product_id,Max price,Discounted price
Tomato Hybrid [Ozone-Washed],1 Kg,169,206,32,30
Tomato Hybrid [Ozone-Washed],500 Gms,375,206,16,16
Tomato Hybrid [Ozone-Washed],2 Kg,326,206,65,56
Tomato Country,1 Kg,572,338,41,39
Tomato Country,500 Gms,345,338,20,20
Tomato Green,500 Gms,325,326,53,53
Onion,1 KG,27,67,38,36
Onion,500 Gms,1388,67,19,19
Onion,2 Kg,668,67,77,68
"OTP Kit [Onion, Tomato, Potato]",3 Kg,191,230,125,121
Potato,1 Kg,286,297,59,59
Potato,2 Kg,669,297,118,112
Baby Potato,500 Gms,205,258,39,37
Baby Potato,250 Gms,672,258,20,20
Baby Potato,1 Kg,826,258,79,70
Spinach [Palak],250 Gm,35,75,38,24
Spinach [Palak],500 Gms,595,75,76,46
Spinach [Palak],1 Kg,747,75,152,87
Chopped Spinach,250 Gms,1115,649,109,109
Fenugreek [Methi],250 Gms,233,246,56,52
Fenugreek [Methi],500 Gms,748,246,111,102
Fenugreek [Methi],100 Gms,232,246,22,22
Chopped Methi,100 Gms,1261,748,49,49
Chopped Methi,250 Gms,1260,748,122,122
Amaranthus Red,250 Gms,160,196,41,41
Basil Leaves,100 Gms,815,149,29,28
Basil Leaves,50 Gms,81,149,15,15
Basil Leaves,250 Gms,814,149,73,65
Hydroponic Basil Leaves,50 Gms,365,153,20,20
Hydroponic Basil Leaves,100 Gms,832,153,40,38
Amaranthus Green,250 Gms,159,195,44,44
Amaranthus Green,500 Gms,749,195,88,83
Amaranthus Green,1 Kg,750,195,176,162
Lady Finger [Bhindi],250 Gms,680,160,26,26
Lady Finger [Bhindi],500 Gms,142,160,52,49
Diced Lady Finger,200 Gms,290,267,40,40
Diced Lady Finger,500 Gms,838,267,101,95
Lady Finger Kali,250 Gms,681,548,50,50
Lady Finger Kali,500 Gms,662,548,100,94
Lady Finger Kali,1 Kg,663,548,200,178
Carrot Orange [English],250 Gms (4-5 pcs),684,156,19,19
Carrot Orange [English],500 Gms (9-10 pcs),88,156,38,36
Carrot Juliennes,250 Gms,696,564,46,48
Ooty Carrot,250 Gms,930,157,25,25
Ooty Carrot,500 Gms,87,157,50,47
Cauliflower,1 Pc (400-600 Gms each),92,138,56,56
Cauliflower,2 pc x (400-600 Gms each),580,138,111,104
Cauliflower Florets,200 Gms,91,137,46,46
Capsicum Green [Ozone-Washed],250 Gms (2-3 pcs),743,253,32,32
Capsicum Green [Ozone-Washed],500 Gms (4-5 pcs),207,253,64,61
Cucumber Green [Ozone-Washed],(500-600 Gms),140,164,62,59
Cucumber Green [Ozone-Washed],(250-350 Gms),677,164,31,31
Cucumber Green [Ozone-Washed],1 Kg,579,164,125,111
Cucumber Green [Ozone-Washed],2 Kg,756,164,250,217
Cucumber White [Ozone - Washed],250 Gms,679,152,24,24
Cucumber White [Ozone - Washed],500 Gms,98,152,47,44
Cucumber White [Ozone - Washed],1 Kg,755,152,94,83
Cucumber European,250 Gms,676,161,19,19
Cucumber European,500 Gms,132,161,38,36
Cucumber European,1 Kg,754,161,77,68
Cucumber Madras,1 Pc (400-700 Gms),212,244,94,89
Cabbage,1 Pc (500 - 600 Gms),9,49,25,25
Brinjal Bharta,250 Gms,744,240,25,25
Brinjal Bharta,500 Gms,218,240,50,47
Beetroot [Chukandar],500 Gms (4-5 pcs),596,90,58,54
Beetroot [Julienne Cut],200 Gms,315,316,43,43
